rooms_that_depend_on_it	which_side_is_a_guess	group	area	from_id	from_room	from_floor_now	command	way_back	to_id	to_room	to_floor_now	jev_says	jev_estimate	subagent_1	subagent_1_conf	subagent_2	subagent_2_conf	YOUR_ANSWER
0			Seethe Naedal	1275	[Ta'Illistim, Rocky Trail]	0	go ladder	go ladder	36158	[The Black Rose, Foredeck]	0	down	0.79	same floor	55	same floor	50	
0			Seethe Naedal	4956	[Seethe Naedal, Hot Springs]	0	go steps	go steps	4989	[Seethe Naedal, Hot Springs]	0	down	0.72	down	75	same floor	74	
0			Solhaven	5585	[Vornavis Caravansary, The Row]	0	climb stairway	climb stairway	5588	[Caravansary Chandler's Shop]	0	up	0.83	down	88	down	88	
0			Solhaven	9010	[Solhaven, Spiral Passageway]	-1	go steps	go steps	9011	[Solhaven, Spiral Passageway]	1	down	0.9	same floor	60	up	68	
0			Solhaven	9015	[Solhaven, Spiral Passageway]	0	go steps	go steps	9016	[Solhaven, Spiral Passageway]	1	up	0.86	same floor	60	up	74	
0			Solhaven	17949	[Rogue Guild, Ballroom]	0	climb stairs	climb stairs	17950	[Rogue Guild, Conservatory]	0	up	0.79	up	60	same floor	55	
0			Solhaven	19734	[Courtyard]	0	climb stairway	climb short stairway	19737	[Hub]	0	down	0.9	down	68	down	68	
0			Stormpeak	34283	[Stormpeak Base, Shimmer Cove]	-1	go ramp	go ramp	34287	[Giant's Ridge, Landing]	0	up	0.91	up	70	up	70	
0			Stormpeak	34292	[Giant's Ridge, Juncture]	0	climb ledge	climb trail	34293	[Giant's Ridge, Rocky Ledge]	0	up	0.77	same floor	65	same floor	62	
0			Ta'Illistim	18681	[Meazernis Villa, Garden]	0	go steps	go steps	18720	[Meazernis Villa, Patio]	0	up	0.85	up	68	same floor	78	
0			Ta'Illistim	28253	[Under the Moat]	-1	crawl up	(none)	28254	[Under the Walls]	0	up	0.79	up	78	up	70	
0			Ta'Illistim Embassies	22380	[Burghal Chancery, Hall]	0	go hatch	go hatch	22417	[Burghal Chancery, Office]	0	same floor	0.8	same floor	76	same floor	72	
0			Ta'Vaalor	26015	[Burghal Enclave, Gem Passage]	0	go tunnel	go tunnel	26016	[Burghal Enclave, Shimeraern Var]	0	up	0.79	down	70	down	60	
0			Talador	33756	[Luinne Bheinn, Granite Edge]	0	go slope	go slope	33765	[Luinne Bheinn, Skyline Slope]	1	down	0.84	down	72	up	66	
0			The Falcon, inside the seaside town of Solhaven	26036	[The Falcon, Foredeck]	0	go ladder	go ladder	752	[Ta'Illistim, Rocky Trail]	0	down	0.73	same floor	50	same floor	60	
0			Wehnimer's Landing	1246	[River Tower East, Headquarters]	1	go stair	go stair	1247	[River Tower East, Barracks]	3	down	0.58	up	70	up	78	
0			Wehnimer's Landing	9633	[Temple Steps]	0	go steps	go steps	9634	[Temple Entrance]	0	down	0.77	up	78	same floor	72	
0			Wehnimer's Landing	14650	[Museum Member's Suite]	0	climb stairs	";e fput ""search"";fput ""climb stone stairs"""	19967	[Hall of Knowledge, Library]	1	down	0.81	up	60	up	70	
0			Wehnimer's Landing	14853	[Halcyon Hills, Meadow's Edge]	0	go steps	go steps	14854	[Halcyon Hills, Wooded Bluff]	0	up	0.88	down	78	same floor	55	
0			Wehnimer's Landing	30882	[Bard Guild, Stage]	-1	go steps	(none)	8663	[Bard Guild, Performance Hall]	-1	same floor	0.73	down	80	down	70	
0			Wehnimer's Landing	33441	[Underground, Narrow Tunnel]	-1	go narrow stair	(none)	33442	[House Aspis, Wine Cellar]	-2	up	0.85	down	60	down	88	
0			Whistler's Pass	74	[Whistler's Pass, Hills]	1	climb wall	climb wall	75	[Whistler's Pass, Hills]	0	same floor	0.84	same floor	78	same floor	64	
0			Whistler's Pass	883	[Whistler's Pass]	0	climb boulders	climb boulders	884	[Whistler's Pass]	0	same floor	0.69	same floor	70	same floor	70	
0			Whistler's Pass	920	[Whistler's Pass, Cavern]	0	go tunnel	go cavern	921	[Whistler's Pass, Tunnel]	0	down	0.61	same floor	70	same floor	78	
0			Wraithenmist	1787	[Wraithenmist, Winding Trail]	0	climb boulder	(none)	1788	[Wraithenmist, Winding Trail]	0	same floor	0.75	up	72	same floor	72	
0			Wraithenmist	1789	[Wraithenmist, Winding Trail]	0	climb rocks	(none)	1791	[Wraithenmist, Winding Trail]	0	same floor	0.88	same floor	70	same floor	68	
0			Wraithenmist	1826	[Wraithenmist, Lakeside Trail]	0	climb trunk	climb trunk	1827	[Wraithenmist, Fishing Hut]	0	down	0.72	same floor	55	same floor	55	
0			Wraithenmist	1832	[Wraithenmist, Narrow Trail]	0	climb tree	climb tree	1833	[Wraithenmist, Narrow Trail]	0	same floor	0.89	same floor	70	same floor	58	
0			the Abandoned Farm	3125	[Abandoned Farm, Field]	0	go tree	go tree	3126	[Abandoned Farm, Field]	0	up	0.71	same floor	80	same floor	82	
0			the Abandoned Farm	24526	[Frozen Bramble Patch]	0	climb hillside	climb hillside	24533	[Frozen Bramble Patch]	0	same floor	0.89	same floor	62	same floor	78	
0			the Abandoned Mine	2278	[Abandoned Mine, Ruined Cavern]	0	climb rubble	climb rubble	2279	[Abandoned Mine]	0	same floor	0.63	same floor	70	same floor	65	
0			the Cairnfang	9374	[Cairnfang Falls, Basin]	-1	climb outcroppings	climb outcropping	9375	[Cairnfang Falls, Hidden Pool]	0	up	0.91	same floor	60	up	60	
0			the Central Caravansary	1343	[Zortahg's Spine, Ramp]	0	go ramp	go ramp	1344	[Zortahg's Spine, Highroad]	0	down	0.81	up	85	same floor	60	
0			the Citadel	11145	[River Tunnels, Dead End]	-1	go trapdoor	go trapdoor	11146	[Citadel Stables]	0	up	0.87	up	70	up	78	
0			the Citadel	11230	[Infirmary, Hallway]	0	go staircase	go staircase	11231	[Infirmary, Hallway]	0	down	0.71	up	60	up	70	
0			the Citadel	11298	[Alchemist, Hallway]	0	go hole	go hole	11319	[Alchemist, Hallway]	1	up	0.74	down	70	up	72	
0			the Emerald Forest	189	[Gorget Trails, West Cliff Face]	0	climb root	climb root	190	[Gorget Trails, West Cliff Face]	0	up	0.72	up	70	up	55	
0			the Emerald Forest	1778	[Masked Hills, Hairline Ridge]	0	climb overhang	climb outcropping	3980	[Griffin's Keen, Crossroads]	0	down	0.83	same floor	55	up	62	
0			the Graveyard	7221	[Underbarrow, Tunnels]	-1	go tunnel	go tunnel	7225	[Under Crypt, Tunnels]	-7	same floor	0.76	same floor	78	same floor	65	
0			the Icemule Trail	2509	[Icemule Trail, Tundra]	0	climb bank	climb bank	2510	[Icemule Trail, Icy River]	0	down	0.82	down	70	down	68	
0			the Icemule Trail	2523	[Blue Glacier, Mountain Pass]	0	climb rockslide	climb rockslide	2524	[Blue Glacier, Mountain Pass]	0	up	0.66	up	70	same floor	68	
0			the Monsoon Jungle	20904	[Monsoon Jungle, Interior]	0	go boulders	go boulders	20905	[Monsoon Jungle, Banyan Base]	0	same floor	0.9	same floor	78	same floor	78	
0			the Neartofar Road	10497	[Neartofar Road]	0	climb bank	climb bank	10499	[The Toadwort, Muddy Path]	0	down	0.89	down	60	same floor	60	
0			the Needle of Pentas	30972	[Isle of Ornath, Agora Promenade]	0	go steps	go steps	30973	[Isle of Ornath, Agora Entry]	0	up	0.78	down	80	same floor	58	
0			the Pinefar forests	2762	[Arctic Embankment]	0	climb stones	climb stones	2763	[Northern Slopes, Arctic Plateau]	0	down	0.77	same floor	62	same floor	55	
0			the Pinefar forests	2765	[Northern Slopes, Arctic Plateau]	0	climb rocks	climb rocks	2766	[Northern Slopes, Arctic Track]	0	down	0.73	down	72	down	62	
0			the Rambling Meadows	10482	[Rambling Meadows, Farmhouse]	0	go steps	go steps	5999	[Rambling Meadows, Hilltop]	0	up	0.74	same floor	58	same floor	70	
0			the Sleeping Lady Mountains	2835	[Northern Slopes, Snowy Drifts]	0	climb slope	climb slope	2836	[Northern Slopes, Timberline]	0	up	0.78	up	78	same floor	80	
0			the Sleeping Lady Mountains	2838	[Northern Slopes, Quiet Forest]	0	climb incline	climb inc	2839	[Northern Slopes, Quiet Forest]	0	down	0.72	up	70	same floor	62	
0			the Sleeping Lady Mountains	2840	[Northern Slopes, Quiet Forest]	0	climb slope	climb slope	2871	[Northern Slopes, Quiet Forest]	0	down	0.79	up	82	same floor	60	
0			the Sleeping Lady Mountains	2842	[Northern Slopes, Quiet Forest]	0	climb incline	climb incline	2847	[Mountains, Quiet Forest]	0	down	0.77	up	62	same floor	65	
0			the Sleeping Lady Mountains	2843	[Northern Slopes, Quiet Forest]	0	climb incline	climb inc	2844	[Mountains, Quiet Forest]	0	down	0.78	up	80	same floor	72	
0			the Sleeping Lady Mountains	2898	[Southern Slopes, Treeline]	0	go stairway	go stairway	2901	[Southern Slopes, Alpine Ridge]	0	up	0.68	down	60	same floor	60	
0			the Upper Trollfang	8440	[Upper Trollfang, Sentoph]	0	climb trail	climb trail	8443	[Upper Trollfang, Sentoph]	0	down	0.57	up	88	same floor	55	
0			the Yegharren Plains	9989	[Yegharren Valley, Ravine]	-1	climb rocks	climb rocks	9990	[Yegharren Valley, Ravine]	0	up	0.79	same floor	72	same floor	62	
0			the Yegharren Plains	9991	[Yegharren Valley, Ravine]	0	climb slope	climb slope	9992	[Yegharren Valley, Ravine]	0	down	0.8	same floor	60	same floor	55	
0			the Yegharren Plains	9996	[Yegharren Valley, Ravine]	0	climb slope	climb mound	9997	[Yegharren Valley, Ravine]	-2	down	0.62	down	78	down	75	
0			the bowels of Thanatoph	8427	[Thanatoph Bowels, Cavern]	0	climb ledge	climb ledge	8430	[Thanatoph Bowels, Cavern]	0	down	0.79	up	80	down	60	
0			the catacombs	3932	[Wehnimer's, Tunnel]	0	go hole	go hole	3933	[Catacombs, Rat's Nest]	-1	same floor	0.81	same floor	68	same floor	68	
0			the catacombs	7536	[Catacombs, Twisting Tunnels]	-1	climb rubble	climb rubble	7543	[Catacombs, Muddy Bend]	-1	up	0.9	up	68	down	70	
0			the environs of the Saewehna Lagoon	18265	[Saewehna Jungle, Coast]	0	go steps	go steps	18266	[Saewehna Jungle, Small Clearing]	-1	up	0.74	up	62	same floor	65	
0			the environs of the Saewehna Lagoon	18288	[Saewehna Jungle, Coast]	0	climb dune	climb decline	18289	[Saewehna Jungle, Wilds]	0	up	0.92	up	78	same floor	62	
0			the environs of the Saewehna Lagoon	18294	[Saewehna Jungle, Clearing]	0	go hollow	(none)	18295	[Saewehna Jungle, Mushroom Bed]	0	same floor	0.91	down	55	same floor	74	
0			the environs of the Saewehna Lagoon	18343	[Saewehna Jungle, Coast]	0	climb path	climb path	18344	[Saewehna Jungle, Wilds]	0	up	0.85	up	68	up	72	
0			the free port of Solhaven	1427	[Solhaven, Tumbledown Lane]	-1	go steps	go steps	1428	[Solhaven, Tumbledown Lane]	2	down	0.93	down	78	down	74	
0			the free port of Solhaven	1484	[Solhaven, North 'Haven Quay]	0	go ramp	go ramp	30213	[North 'Haven Quay, Catwalk]	0	up	0.74	same floor	82	same floor	76	
0			the free port of Solhaven	13243	[Solhaven Inn, Upstairs Hall]	1	go steps	go steps	17931	[A Concealed Room]	-1	down	0.57	same floor	62	down	68	
0			the free port of Solhaven	13975	[Girvahk's Shop, Museum]	2	go oak door	go oak door	14580	[Girvahk's Shop, Smithy]	0	same floor	0.92	same floor	75	down	72	
0			the grasslands	10242	[Vineyard]	0	climb wall	climb west wall	10262	[Wildflower Field, Pond]	0	down	0.67	same floor	65	same floor	68	
0			the grasslands	10243	[Vineyard]	0	climb wall	climb wall	10263	[Wildflower Field]	0	down	0.68	same floor	62	same floor	70	
0			the grasslands	10258	[Apple Orchard]	0	climb wall	climb north wall	10262	[Wildflower Field, Pond]	0	down	0.69	same floor	65	same floor	66	
0			the great mountain Aenatumgana	2678	[Top of the World, Aenatumgana]	0	go ledge	;e 8.times { if celerity = Spell[506] and celerity.known? and celerity.affordable? and not celerity.active?; celerity.cast; end; dothistimeout 'search', 3, /You make a careful search of the area and discover a narrow icy ledge!|You don't find anything of interest here./; break if move 'go ledge' }	2679	[Top of the World, Aenatumgana]	0	same floor	0.72	same floor	78	same floor	70	
0			the great mountain Aenatumgana	2681	[Top of the World, Aenatumgana]	0	climb slope	climb slope	2682	[Top of the World, Aenatumgana]	0	down	0.85	down	62	down	76	
0			the great mountain Aenatumgana	2689	[Top of the World, Aenatumgana]	0	climb slope	climb slope	2690	[Top of the World, Aenatumgana]	2	down	0.92	down	78	up	74	
0			the lowlands of Marshtown	5045	[Marshtown, Jag Hill]	0	climb path	climb path	5046	[Marshtown, Jag Hill]	0	up	0.77	up	75	same floor	72	
0			the old Mine Road	4208	[Upper Trollfang]	0	climb rockslide	climb rockslide	4209	[Upper Trollfang]	0	same floor	0.53	up	62	same floor	70	
0			the southern part of Solhaven	1500	[Solhaven, Eastbridge Lane]	0	climb wall	climb wall	4583	[Kraken Manor, Courtyard]	0	up	0.72	same floor	60	same floor	70	
0			the southern part of Solhaven	14234	[Solhaven, Beacon Tower]	0	go ramp	climb ramp	1568	[Solhaven, Beacon Ring]	0	down	0.85	down	70	down	70	
0			the town of Icemule Trace	18959	[Sorcerer Guild, Meeting Cavern]	-1	climb west staircase	climb staircase	18960	[Sorcerer Guild, Den]	0	down	0.79	up	62	up	82	
0			the town of Wehnimer's Landing	250	[Wehnimer's, North Dock]	0	go ramp	go ramp	29631	[North Dock, Catwalk]	0	up	0.91	up	62	up	60	
0			the town of Wehnimer's Landing	20606	[Wehnimer's, Burrow Way]	-1	go fissure	go fissure	20607	[Wehnimer's, Burrow Way]	0	same floor	0.84	same floor	68	same floor	72	
0			the town of Wehnimer's Landing	21688	[Town Barracks, Inner Courtyard]	0	climb walls	(none)	279	[Wehnimer's, The Mews]	0	same floor	0.93	same floor	60	same floor	65	
0			the town of Wehnimer's Landing	30276	[Rusty Cutlass, Grub Hall]	0	go ramp	go ramp	30279	[Rusty Cutlass, Main Deck]	0	up	0.86	same floor	60	same floor	55	
0			the village of Cysaegir	4662	[Cysaegir, Pond]	0	climb stones	climb stones	4665	[Cysaegir, Pond]	0	same floor	0.86	down	72	same floor	72	
0			the volcano	2166	[Basalt Hillock, Precipice]	1	climb trail	climb trail	2167	[Basalt Plateau, Second Tier]	0	up	0.91	down	88	down	85	
