kind	where	area	from_id	from_room	from_floor	from_floor_set_by	command	exit_says	direction_from	to_id	to_room	to_floor	to_floor_set_by
says up/down, but plain moves join the two rooms on one level	both indoors	the free port of Solhaven	14141	[Temple of Jastev, Great Hall]	0	doorway	climb stairway	up	Jev or subagent	14142	[Temple of Jastev, Balcony]	0	doorway
says up/down, but both rooms came out on the same floor	indoor/outdoor	the great mountain Aenatumgana	2725	[Top of the World, Aenatumgana]	1	outdoor climb	climb of spidersilk	up	Jev or subagent	21538	[Above Elanthia, On the Web]	1	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	the great mountain Aenatumgana	2744	[Top of the World, Frozen Tundra]	0	outdoor ground	go opening	level	plain exit	2746	[Ice Cave]	-1	stack
says up/down, but both rooms came out on the same floor	both outdoors	the holdings of Vornavis	3897	[Marshtown Road]	0	outdoor ground	go ravine	down	Jev or subagent	3898	[Marshtown Road, Ravine]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both indoors	the subterranean tunnels	9073	[Twisting Tunnels]	-2	stack	down	down	map's literal up/down	15697	[Twisting Tunnels]	-2	stack
says up/down, but plain moves join the two rooms on one level	both indoors	the subterranean tunnels	15791	[Twisting Tunnels]	-2	stack	up	up	map's literal up/down	15914	[Twisting Tunnels]	-2	stack
says up/down, but plain moves join the two rooms on one level	both indoors	the subterranean tunnels	15917	[Twisting Tunnels]	-2	stack	down	down	map's literal up/down	15918	[Twisting Tunnels]	-2	stack
says up/down, but plain moves join the two rooms on one level	both indoors	the subterranean tunnels	15917	[Twisting Tunnels]	-2	stack	up	up	map's literal up/down	15919	[Twisting Tunnels]	-2	stack
says up/down, but plain moves join the two rooms on one level	both indoors	the subterranean tunnels	15919	[Twisting Tunnels]	-2	stack	up	up	map's literal up/down	23256	[Twisting Tunnels]	-2	stack
says up/down, but plain moves join the two rooms on one level	both indoors	the subterranean tunnels	15920	[Twisting Tunnels]	-2	stack	up	up	map's literal up/down	15921	[Twisting Tunnels]	-2	stack
says up/down, but plain moves join the two rooms on one level	both indoors	the subterranean tunnels	15922	[Twisting Tunnels]	-2	stack	up	up	map's literal up/down	23257	[Twisting Tunnels]	-2	stack
says up/down, but plain moves join the two rooms on one level	both indoors	the subterranean tunnels	15923	[Twisting Tunnels]	-2	stack	up	up	map's literal up/down	15924	[Twisting Tunnels]	-2	stack
says up/down, but plain moves join the two rooms on one level	both indoors	the subterranean tunnels	15924	[Twisting Tunnels]	-2	stack	down	down	map's literal up/down	15925	[Twisting Tunnels]	-2	stack
says up/down, but plain moves join the two rooms on one level	both indoors	the subterranean tunnels	15927	[Twisting Tunnels]	-2	stack	down	down	map's literal up/down	15923	[Twisting Tunnels]	-2	stack
says up/down, but plain moves join the two rooms on one level	both indoors	the subterranean tunnels	23255	[Twisting Tunnels]	-2	stack	down	down	map's literal up/down	15697	[Twisting Tunnels]	-2	stack
says up/down, but plain moves join the two rooms on one level	both outdoors	the town of Kharam-Dzu	12555	[Canyon, Siren's Path]	1	outdoor climb	go stairs	up	Jev or subagent	12563	[Canyon, Dragon's Ridge]	1	outdoor climb
says up/down, but the floors came out the other way round	indoor/outdoor	the town of Solhaven	13196	[Fasthr's Lance, Infirmary]	2	stack	climb stairwell	up	Jev or subagent	14155	[Fasthr's Lance, Crown]	0	outdoor ground
plain exit, but the two rooms came out on different floors	indoor/outdoor	the town of Wehnimer's Landing	25416	[Hendoran Outpost, Feast Hall]	-1	stack	out	level	plain exit	25417	[Outpost, Inner Courtyard]	0	main deck
plain exit, but the two rooms came out on different floors	indoor/outdoor	the town of Wehnimer's Landing	21366	[Moot Hall, Orchard]	-1	outdoor climb	go door	level	plain exit	21367	[Moot Hall, North Corridor]	0	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	the town of Wehnimer's Landing	25421	[Outpost, Inner Courtyard]	0	main deck	go stone building	level	plain exit	26102	[Hendoran Outpost, Kitchen]	-1	stack
says up/down, but the floors came out the other way round	both indoors	the town of Wehnimer's Landing	19936	[Stone Baths, Hearth]	0	doorway	go stairs	up	Jev or subagent	19938	[Stone Baths, Upstairs Hall]	-1	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	the town of Wehnimer's Landing	6944	[Wehnimer's, Festival Grounds]	0	main deck	go ironbound gate	level	plain exit	24792	[Helden Hall, Cavernous Corridor]	-1	stack
says up/down, but both rooms came out on the same floor	indoor/outdoor	the town of Wehnimer's Landing	271	[Wehnimer's, Stormarm St.]	0	main deck	go stairway	up	Jev or subagent	3809	[Helga's Tavern, Barroom]	0	doorway
says up/down, but both rooms came out on the same floor	indoor/outdoor	the town of Wehnimer's Landing	8665	[Wehnimer's, Treehouse]	0	main deck	go dark hollow	down	Jev or subagent	17793	[Inside Oak Tree]	0	doorway
says up/down, but both rooms came out on the same floor	both outdoors	the village of Cysaegir	4684	[Cysaegir, Gorge Switchback]	-1	outdoor climb	climb trail	up	Jev or subagent	4685	[Cysaegir, Gorge Switchback]	-1	outdoor climb
says up/down, but both rooms came out on the same floor	both outdoors	the village of Cysaegir	4641	[Cysaegir, Treetop Platform]	0	outdoor ground	climb tree	down	Jev or subagent	4650	[Cysaegir, Disk Statue]	0	outdoor ground
says up/down, but both rooms came out on the same floor	both outdoors	the village of Cysaegir	4642	[Cysaegir, Treetop Platform]	0	outdoor ground	climb ladder	down	Jev or subagent	4643	[Cysaegir, Wishing Well]	0	outdoor ground
says up/down, but plain moves join the two rooms on one level	both outdoors	the village of Cysaegir	4644	[Cysaegir, Treetop Platform]	0	outdoor ground	go rope	up	Jev or subagent	4645	[Cysaegir, Treetop Platform]	0	outdoor ground
plain exit, but the two rooms came out on different floors	indoor/outdoor	the volcano	2177	[Lava Flows, Lava Pipe]	-1	doorway	west	level	plain exit	2178	[Lava Flows, Lava Pipe]	0	doorway
